"L: 0.1"
"e0: 5"
"t: 5"
"Number of Energies: 400"
"Number of Phases: 400"
"Threshold: 0.01"
"phase","energy"
0.015707963267948967,0.98
0.015707963267948967,0.9825
0.031415926535897934,0.9775
0.047123889803846894,0.9775
0.047123889803846894,0.985
0.06283185307179587,0.975
0.07853981633974483,0.9725
0.07853981633974483,0.9875
0.09424777960769379,0.9725
0.10995574287564278,0.97
0.10995574287564278,0.99
0.12566370614359174,0.9675
0.1413716694115407,0.965
0.1413716694115407,0.9925
0.15707963267948966,0.965
0.17278759594743862,0.9625
0.18849555921538758,0.96
0.18849555921538758,0.995
0.20420352248333656,0.9575
0.21991148575128555,0.955
0.23561944901923448,0.9525
0.23561944901923448,0.955
0.25132741228718347,0.95
0.25132741228718347,0.9525
0.25132741228718347,0.9975
0.26703537555513246,0.95
0.2827433388230814,0.9475
0.2984513020910303,0.945
0.3141592653589793,0.9425
0.32986722862692824,0.94
0.34557519189487723,0.9375
0.3612831551628262,0.935
0.37699111843077515,0.93
0.37699111843077515,0.9325
0.39269908169872414,0.9275
0.39269908169872414,0.93
0.4084070449666731,0.925
0.4084070449666731,0.9275
0.4241150082346221,0.9225
0.4241150082346221,0.925
0.4398229715025711,0.92
0.45553093477052,0.9175
0.47123889803846897,0.915
0.48694686130641796,0.91
0.48694686130641796,0.9125
0.5026548245743669,0.9075
0.5026548245743669,0.91
0.5183627878423159,0.905
0.5183627878423159,0.9075
0.5340707511102649,0.9025
0.5497787143782138,0.9
0.5654866776461628,0.895
0.5654866776461628,0.8975
0.5811946409141118,0.8925
0.5811946409141118,0.895
0.5969026041820606,0.89
0.6126105674500096,0.885
0.6126105674500096,0.8875
0.6283185307179586,0.8825
0.6283185307179586,0.885
0.6440264939859075,0.88
0.6597344572538565,0.875
0.6597344572538565,0.8775
0.6754424205218055,0.8725
0.6754424205218055,0.875
0.6911503837897545,0.8675
0.6911503837897545,0.87
0.7068583470577035,0.865
0.7068583470577035,0.8675
0.7225663103256524,0.8625
0.7382742735936013,0.8575
0.7382742735936013,0.86
0.7539822368615503,0.855
0.7696902001294993,0.85
0.7696902001294993,0.8525
0.7853981633974483,0.8475
0.7853981633974483,0.85
0.8011061266653973,0.8425
0.8011061266653973,0.845
0.8168140899333463,0.84
0.8325220532012952,0.835
0.8325220532012952,0.8375
0.8482300164692442,0.83
0.8482300164692442,0.8325
0.8639379797371932,0.8275
0.8639379797371932,0.83
0.8796459430051422,0.8225
0.8796459430051422,0.825
0.895353906273091,0.82
0.895353906273091,0.8225
0.91106186954104,0.815
0.91106186954104,0.8175
0.926769832808989,0.81
0.926769832808989,0.8125
0.9424777960769379,0.8075
0.9424777960769379,0.81
0.9581857593448869,0.8025
0.9581857593448869,0.805
0.9738937226128359,0.7975
0.9738937226128359,0.8
0.9896016858807848,0.795
0.9896016858807848,0.7975
1.0053096491487339,0.79
1.0053096491487339,0.7925
1.0210176124166828,0.785
1.0210176124166828,0.7875
1.0367255756846319,0.78
1.0367255756846319,0.7825
1.0367255756846319,0.785
1.0524335389525807,0.7775
1.0524335389525807,0.78
1.0681415022205298,0.7725
1.0681415022205298,0.775
1.0838494654884785,0.7675
1.0838494654884785,0.77
1.0995574287564276,0.7625
1.0995574287564276,0.765
1.0995574287564276,0.7675
1.1152653920243765,0.76
1.1152653920243765,0.7625
1.1309733552923256,0.755
1.1309733552923256,0.7575
1.1466813185602744,0.75
1.1466813185602744,0.7525
1.1623892818282235,0.745
1.1623892818282235,0.7475
1.1780972450961724,0.74
1.1780972450961724,0.7425
1.1780972450961724,0.745
1.1938052083641213,0.735
1.1938052083641213,0.7375
1.1938052083641213,0.74
1.2095131716320704,0.73
1.2095131716320704,0.7325
1.2095131716320704,0.735
1.2252211349000193,0.7275
1.2252211349000193,0.73
1.2409290981679684,0.7225
1.2409290981679684,0.725
1.2566370614359172,0.7175
1.2566370614359172,0.72
1.2723450247038663,0.7125
1.2723450247038663,0.715
1.288052987971815,0.7075
1.288052987971815,0.71
1.303760951239764,0.7025
1.303760951239764,0.705
1.319468914507713,0.6975
1.319468914507713,0.7
1.335176877775662,0.6925
1.335176877775662,0.695
1.350884841043611,0.6875
1.350884841043611,0.69
1.36659280431156,0.6825
1.36659280431156,0.685
1.382300767579509,0.6775
1.382300767579509,0.68
1.398008730847458,0.6725
1.398008730847458,0.675
1.413716694115407,0.6675
1.413716694115407,0.67
1.429424657383356,0.6625
1.429424657383356,0.665
1.4451326206513049,0.6575
1.4451326206513049,0.66
1.460840583919254,0.6525
1.460840583919254,0.655
1.4765485471872026,0.6475
1.4765485471872026,0.65
1.4922565104551517,0.6425
1.4922565104551517,0.645
1.5079644737231006,0.635
1.5079644737231006,0.6375
1.5079644737231006,0.64
1.5236724369910497,0.63
1.5236724369910497,0.6325
1.5236724369910497,0.635
1.5393804002589986,0.625
1.5393804002589986,0.6275
1.5393804002589986,0.63
1.5550883635269477,0.62
1.5550883635269477,0.6225
1.5550883635269477,0.625
1.5707963267948966,0.615
1.5707963267948966,0.6175
1.5707963267948966,0.62
1.5865042900628454,0.61
1.5865042900628454,0.6125
1.5865042900628454,0.615
1.6022122533307945,0.605
1.6022122533307945,0.6075
1.6179202165987434,0.5975
1.6179202165987434,0.6
1.6179202165987434,0.6025
1.6336281798666925,0.5925
1.6336281798666925,0.595
1.6336281798666925,0.5975
1.6493361431346414,0.5875
1.6493361431346414,0.59
1.6493361431346414,0.5925
1.6650441064025905,0.5825
1.6650441064025905,0.585
1.6650441064025905,0.5875
1.6807520696705394,0.5775
1.6807520696705394,0.58
1.6964600329384885,0.57
1.6964600329384885,0.5725
1.6964600329384885,0.575
1.7121679962064373,0.565
1.7121679962064373,0.5675
1.7121679962064373,0.57
1.7278759594743864,0.56
1.7278759594743864,0.5625
1.7278759594743864,0.565
1.7435839227423353,0.555
1.7435839227423353,0.5575
1.7435839227423353,0.56
1.7592918860102844,0.5475
1.7592918860102844,0.55
1.7592918860102844,0.5525
1.7749998492782328,0.5425
1.7749998492782328,0.545
1.7749998492782328,0.5475
1.790707812546182,0.5375
1.790707812546182,0.54
1.790707812546182,0.5425
1.8064157758141308,0.5325
1.8064157758141308,0.535
1.8064157758141308,0.5375
1.82212373908208,0.525
1.82212373908208,0.5275
1.82212373908208,0.53
1.8378317023500288,0.52
1.8378317023500288,0.5225
1.8378317023500288,0.525
1.853539665617978,0.515
1.853539665617978,0.5175
1.853539665617978,0.52
1.8692476288859268,0.5075
1.8692476288859268,0.51
1.8692476288859268,0.5125
1.8849555921538759,0.5025
1.8849555921538759,0.505
1.8849555921538759,0.5075
1.9006635554218247,0.4975
1.9006635554218247,0.5
1.9006635554218247,0.5025
1.9163715186897738,0.4925
1.9163715186897738,0.495
1.9320794819577227,0.485
1.9320794819577227,0.4875
1.9320794819577227,0.49
1.9477874452256718,0.48
1.9477874452256718,0.4825
1.9477874452256718,0.485
1.9634954084936207,0.4725
1.9634954084936207,0.475
1.9634954084936207,0.4775
1.9792033717615696,0.4675
1.9792033717615696,0.47
1.9792033717615696,0.4725
1.9949113350295187,0.4625
1.9949113350295187,0.465
1.9949113350295187,0.4675
2.0106192982974678,0.455
2.0106192982974678,0.4575
2.0106192982974678,0.46
2.0263272615654166,0.45
2.0263272615654166,0.4525
2.0263272615654166,0.455
2.0420352248333655,0.445
2.0420352248333655,0.4475
2.0420352248333655,0.45
2.0577431881013144,0.4375
2.0577431881013144,0.44
2.0577431881013144,0.4425
2.0734511513692637,0.4325
2.0734511513692637,0.435
2.0734511513692637,0.4375
2.0891591146372126,0.425
2.0891591146372126,0.4275
